player_id,matches,goals,assists,minutes,name,position,sub_position,foot,country_of_citizenship,market_value_in_eur,goals_per90
10,136,48,25,8808,Miroslav Klose,Attack,Centre-Forward,right,Germany,1000000.0,0.4904632152588556
26,152,0,0,13508,Roman Weidenfeller,Goalkeeper,Goalkeeper,left,Germany,750000.0,0.0
65,122,38,13,8788,Dimitar Berbatov,Attack,Centre-Forward,,Bulgaria,1000000.0,0.3891670459717797
77,4,0,0,307,Lúcio,Defender,Centre-Back,,Brazil,200000.0,0.0
80,12,0,0,1080,Tom Starke,Goalkeeper,Goalkeeper,right,Germany,100000.0,0.0
109,41,1,2,3584,Dedê,Defender,Left-Back,,Brazil,400000.0,0.025111607142857144
123,7,0,1,427,Christoph Metzelder,Defender,Centre-Back,,Germany,1500000.0,0.0
132,77,9,4,3987,Tomas Rosicky,Midfield,Attacking Midfield,both,Czech Republic,350000.0,0.20316027088036118
215,109,26,8,6038,Roque Santa Cruz,Attack,Centre-Forward,right,Paraguay,250000.0,0.3875455448824114
258,19,0,2,1075,Gerald Asamoah,Attack,Centre-Forward,right,Germany,100000.0,0.0
264,24,2,3,1227,Tamás Hajnal,Midfield,Attacking Midfield,both,Hungary,100000.0,0.1466992665036675
276,6,0,0,232,Sladan Peric,Defender,Centre-Back,,Denmark,200000.0,0.0
277,66,5,4,4746,Sérgio da Silva Pinto,Midfield,Central Midfield,right,Germany,150000.0,0.09481668773704172
299,30,0,5,2510,Fabian Ernst,Midfield,Defensive Midfield,right,Germany,1500000.0,0.0
325,2,0,0,180,Tomas Ujfalusi,Defender,Centre-Back,,Czech Republic,300000.0,0.0
332,7,0,0,76,Benjamin Köhler,Midfield,Left Midfield,,Germany,150000.0,0.0
410,93,3,6,6590,Sebastian Kehl,Midfield,Defensive Midfield,left,Germany,1000000.0,0.04097116843702579
411,15,1,0,1061,Levan Kobiashvili,Midfield,Left Midfield,left,Georgia,400000.0,0.08482563619227143
447,9,0,0,766,Oka Nikolov,Goalkeeper,Goalkeeper,right,North Macedonia,350000.0,0.0
488,38,0,0,3198,Gerhard Tremmel,Goalkeeper,Goalkeeper,,Germany,250000.0,0.0
532,187,53,24,6789,Claudio Pizarro,Attack,Centre-Forward,right,Peru,400000.0,0.7026071586389748
557,7,0,0,630,Simon Jentzsch,Goalkeeper,Goalkeeper,right,Germany,300000.0,0.0
568,100,8,0,8607,Martin Stranzl,Defender,Centre-Back,,Austria,1000000.0,0.08365284071104914
597,76,4,13,5014,Aleksandr Hleb,Midfield,Attacking Midfield,,Belarus,150000.0,0.07179896290386917
598,50,0,0,4500,Timo Hildebrand,Goalkeeper,Goalkeeper,,Germany,750000.0,0.0
670,9,0,2,225,Martin Petrov,Attack,Left Winger,,Bulgaria,400000.0,0.0
690,3,1,0,65,Ivan Klasnic,Attack,Centre-Forward,,Croatia,500000.0,1.3846153846153846
691,116,12,8,8123,Simon Rolfes,Midfield,Defensive Midfield,left,Germany,2000000.0,0.13295580450572447
735,11,0,1,669,Giuseppe Gemiti,Defender,Left-Back,left,Germany,75000.0,0.0
755,37,1,0,2903,Deniz Baris,Defender,Centre-Back,,Turkey,300000.0,0.031002411298656565
773,5,0,0,279,David Jarolim,Midfield,Central Midfield,right,Czech Republic,250000.0,0.0
823,49,1,2,4022,Hanno Balitsch,Midfield,Defensive Midfield,right,Germany,200000.0,0.022376926902038786
831,8,0,0,268,Selim Teber,Midfield,Central Midfield,right,Germany,175000.0,0.0
837,32,3,3,2524,Thorben Marx,Midfield,Defensive Midfield,right,Germany,300000.0,0.10697305863708399
886,18,2,0,1601,Jens Langeneke,Defender,Centre-Back,right,Germany,100000.0,0.11242973141786385
892,15,0,0,1305,Heinz Müller,Goalkeeper,Goalkeeper,,Germany,200000.0,0.0
933,111,6,7,8615,Ugur Inceman,Midfield,Central Midfield,right,Turkey,50000.0,0.06268136970400463
992,1,0,0,90,Christian Weber,Defender,Right-Back,right,Germany,50000.0,0.0
1073,33,3,2,2225,Manuel Friedrich,Defender,Centre-Back,,Germany,500000.0,0.12134831460674157
1075,28,7,3,1584,Andriy Voronin,Attack,Second Striker,,Ukraine,500000.0,0.3977272727272727
1083,28,1,2,2302,Julian de Guzmán,Midfield,Defensive Midfield,,Canada,250000.0,0.03909643788010426
1094,39,1,2,2942,Emanuel Pogatetz,Defender,Centre-Back,left,Austria,200000.0,0.030591434398368457
1095,3,0,1,122,Peer Kluge,Midfield,Defensive Midfield,,Germany,125000.0,0.0
1116,23,0,0,1778,Thomas Kleine,Defender,Centre-Back,right,Germany,250000.0,0.0
1126,119,6,6,10082,Matthias Lehmann,Midfield,Defensive Midfield,,Germany,250000.0,0.053560801428288035
1139,81,2,1,7029,Nikolce Noveski,Defender,Centre-Back,,North Macedonia,500000.0,0.025608194622279132
1144,2,0,0,103,Christofer Heimeroth,Goalkeeper,Goalkeeper,right,Germany,100000.0,0.0
1150,66,0,0,5910,Raphael Schäfer,Goalkeeper,Goalkeeper,,Germany,200000.0,0.0
1161,61,0,1,4608,Javier Zanetti,Defender,Right-Back,right,Argentina,1000000.0,0.0
1197,9,2,0,412,Peter Graulund,Attack,Centre-Forward,,Denmark,250000.0,0.4368932038834952
1277,128,2,14,10365,Clemens Fritz,Defender,Right-Back,right,Germany,750000.0,0.01736613603473227
1321,65,3,8,4948,Jermaine Jones,Midfield,Defensive Midfield,both,United States,600000.0,0.054567502021018593
1327,40,2,1,2531,Alou Diarra,Midfield,Defensive Midfield,right,France,250000.0,0.07111813512445674
1331,103,34,9,6663,Kevin Kuranyi,Attack,Centre-Forward,,Germany,1250000.0,0.45925258892390813
1335,35,0,2,2905,Steven Cherundolo,Defender,Right-Back,right,United States,750000.0,0.0
1363,37,0,0,3242,Christian Wetklo,Goalkeeper,Goalkeeper,right,Germany,50000.0,0.0
1368,86,2,3,6568,Guy Demel,Defender,Right-Back,,Cote d'Ivoire,150000.0,0.027405602923264313
1381,1,0,0,90,Maik Franz,Defender,Centre-Back,,Germany,300000.0,0.0
1397,9,1,0,147,Michael Owen,Attack,Centre-Forward,both,England,1000000.0,0.6122448979591837
1423,139,2,19,12211,Lars Jacobsen,Defender,Right-Back,both,Denmark,500000.0,0.014740807468675784
1426,38,2,4,1580,Cacau,Attack,Centre-Forward,right,Germany,350000.0,0.11392405063291139
1428,65,9,5,2756,Mike Hanke,Attack,Centre-Forward,right,Germany,1000000.0,0.29390420899854863
1443,101,2,5,6051,Christian Poulsen,Midfield,Defensive Midfield,right,Denmark,400000.0,0.029747149231531978
1474,11,0,0,990,Tim Wiese,Goalkeeper,Goalkeeper,,Germany,500000.0,0.0
1496,4,0,0,242,Heiko Butscher,Defender,Centre-Back,both,Germany,200000.0,0.0
1532,17,1,2,1179,Wesley Sonck,Missing,,right,Belgium,200000.0,0.07633587786259542
1560,8,0,0,549,Youssef El Akchaoui,Defender,Left-Back,,Morocco,350000.0,0.0
1565,135,69,13,10845,Alexander Meier,Attack,Second Striker,right,Germany,300000.0,0.5726141078838174
1568,26,8,0,1577,Stefan Reisinger,Attack,Centre-Forward,right,Germany,500000.0,0.45656309448319593
1572,1,0,0,29,Andreas Wolf,Defender,Centre-Back,right,Germany,500000.0,0.0
1573,9,0,0,361,Thomas Hitzlsperger,Midfield,Central Midfield,,Germany,1000000.0,0.0
1586,116,5,2,9676,Christian Schulz,Defender,Centre-Back,left,Germany,100000.0,0.046506821000413395
1587,32,2,1,2693,Mario Eggimann,Defender,Centre-Back,right,Switzerland,400000.0,0.06683995544002971
1606,35,1,0,2989,Morten Rasmussen,Defender,Centre-Back,right,Denmark,50000.0,0.030110404817664773
1613,12,0,0,796,Vivian,Defender,Centre-Back,,Brazil,100000.0,0.0
1659,16,0,0,742,Dennis Kruppke,Attack,Second Striker,both,Germany,400000.0,0.0
1662,121,1,13,9641,Sascha Riether,Defender,Right-Back,,Germany,300000.0,0.009335131210455348
1667,199,0,0,17762,Diego Benaglio,Goalkeeper,Goalkeeper,right,Switzerland,250000.0,0.0
1684,18,0,0,1196,Milorad Pekovic,Midfield,Defensive Midfield,left,Montenegro,150000.0,0.0
1716,14,2,3,1063,David Odonkor,Attack,Right Winger,right,Germany,500000.0,0.16933207902163686
1725,33,0,0,2884,Jesper Christiansen,Goalkeeper,Goalkeeper,left,Denmark,50000.0,0.0
1726,126,8,5,10583,Heiko Westermann,Defender,Centre-Back,right,Germany,400000.0,0.06803363885476708
1772,11,0,0,309,Du-ri Cha,Defender,Right-Back,right,"Korea, South",825000.0,0.0
1784,144,0,3,12858,René Adler,Goalkeeper,Goalkeeper,,Germany,500000.0,0.0
1791,157,29,18,10893,Halil Altintop,Midfield,Attacking Midfield,right,Turkey,200000.0,0.23960341503717986
1792,91,2,9,6053,Hamit Altintop,Midfield,Right Midfield,right,Turkey,300000.0,0.029737320337022963
1841,6,0,0,127,Ali Bilgin,Midfield,Central Midfield,,Turkey,175000.0,0.0
1896,94,1,5,5751,Ahmet Cebe,Defender,Right-Back,right,Germany,50000.0,0.01564945226917058
1944,24,0,0,1891,Deniz Dogan,Defender,Centre-Back,left,Turkey,75000.0,0.0
1986,102,8,5,6865,Markus Feulner,Midfield,Central Midfield,right,Germany,100000.0,0.10487982520029134
2048,31,1,0,2746,Philipp Haastrup,Defender,Centre-Back,,Germany,100000.0,0.03277494537509104
2050,69,16,0,2881,Nelson Valdez,Attack,Centre-Forward,right,Paraguay,100000.0,0.4998264491496008
2138,60,1,0,4951,Mladen Kascelan,Midfield,Defensive Midfield,right,Montenegro,25000.0,0.018178145829125428
2148,71,8,7,2901,Erdal Kilicaslan,Attack,Left Winger,,Germany,400000.0,0.2481902792140641
2150,30,1,1,1804,Oliver Kirch,Midfield,Defensive Midfield,right,Germany,500000.0,0.04988913525498891
2201,35,0,0,3180,Lukas Kruse,Goalkeeper,Goalkeeper,right,Germany,100000.0,0.0
2219,211,6,35,17697,Philipp Lahm,Defender,Right-Back,right,Germany,11000000.0,0.0305136463807425
2233,33,2,3,2705,Christian Lell,Defender,Right-Back,,Germany,800000.0,0.066543438077634
2309,14,0,2,722,Zvjezdan Misimovic,Midfield,Attacking Midfield,both,Bosnia-Herzegovina,700000.0,0.0
2334,35,1,2,2702,Marcel Ndjeng,Midfield,Right Midfield,right,Cameroon,50000.0,0.033308660251665435
2358,31,0,3,2193,Patrick Ochs,Defender,Right-Back,right,Germany,200000.0,0.0
2386,6,0,0,540,Marjan Petkovic,Goalkeeper,Goalkeeper,right,Germany,200000.0,0.0
2421,37,0,1,3360,Michael Rensing,Goalkeeper,Goalkeeper,right,Germany,300000.0,0.0
2453,12,1,1,313,Mahir Saglik,Attack,Centre-Forward,left,Turkey,50000.0,0.28753993610223644
2514,142,24,27,10261,Bastian Schweinsteiger,Midfield,Central Midfield,,Germany,1000000.0,0.21050579865510186
2583,5,0,0,362,Thorsten Stuckmann,Goalkeeper,Goalkeeper,right,Germany,100000.0,0.0
2587,135,2,4,11528,Elyasa Süme,Defender,Centre-Back,,Turkey,25000.0,0.01561415683553088
2623,42,4,3,1913,Piotr Trochowski,Midfield,Attacking Midfield,right,Germany,750000.0,0.18818609513852586
2703,48,9,3,2473,Morten Skoubo,Attack,Centre-Forward,,Denmark,300000.0,0.32753740396279823
2712,14,3,0,483,Nando Rafael,Attack,Centre-Forward,both,Angola,250000.0,0.5590062111801243
2726,7,0,0,630,Romuald Peiser,Goalkeeper,Goalkeeper,right,France,75000.0,0.0
2767,59,8,0,3764,Alexander Madlung,Defender,Centre-Back,,Germany,250000.0,0.19128586609989373
