name,position,sub_position,foot,country,age,height_cm,caps,matches,goals,assists,minutes,goals_per90,market_value_eur
Miroslav Klose,Attack,Centre-Forward,right,Germany,46.0,184.0,,136,48,25,8808,0.49,1000000.0
Roman Weidenfeller,Goalkeeper,Goalkeeper,left,Germany,43.8,190.0,,152,0,0,13508,0.0,750000.0
Dimitar Berbatov,Attack,Centre-Forward,,Bulgaria,43.3,,,122,38,13,8788,0.389,1000000.0
Lúcio,Defender,Centre-Back,,Brazil,46.1,,,4,0,0,307,0.0,200000.0
Tom Starke,Goalkeeper,Goalkeeper,right,Germany,43.2,194.0,,12,0,0,1080,0.0,100000.0
Dedê,Defender,Left-Back,,Brazil,46.1,,,41,1,2,3584,0.025,400000.0
Christoph Metzelder,Defender,Centre-Back,,Germany,43.6,,,7,0,1,427,0.0,1500000.0
Tomas Rosicky,Midfield,Attacking Midfield,both,Czech Republic,43.7,179.0,,77,9,4,3987,0.203,350000.0
Roque Santa Cruz,Attack,Centre-Forward,right,Paraguay,42.8,193.0,,109,26,8,6038,0.388,250000.0
Gerald Asamoah,Attack,Centre-Forward,right,Germany,45.7,180.0,,19,0,2,1075,0.0,100000.0
Tamás Hajnal,Midfield,Attacking Midfield,both,Hungary,43.2,167.0,,24,2,3,1227,0.147,100000.0
Sladan Peric,Defender,Centre-Back,,Denmark,42.1,,,6,0,0,232,0.0,200000.0
Sérgio da Silva Pinto,Midfield,Central Midfield,right,Germany,43.6,176.0,,66,5,4,4746,0.095,150000.0
Fabian Ernst,Midfield,Defensive Midfield,right,Germany,,183.0,,30,0,5,2510,0.0,1500000.0
Tomas Ujfalusi,Defender,Centre-Back,,Czech Republic,46.2,,,2,0,0,180,0.0,300000.0
Benjamin Köhler,Midfield,Left Midfield,,Germany,43.8,,,7,0,0,76,0.0,150000.0
Sebastian Kehl,Midfield,Defensive Midfield,left,Germany,44.3,187.0,,93,3,6,6590,0.041,1000000.0
Levan Kobiashvili,Midfield,Left Midfield,left,Georgia,46.9,183.0,,15,1,0,1061,0.085,400000.0
Oka Nikolov,Goalkeeper,Goalkeeper,right,North Macedonia,50.0,188.0,,9,0,0,766,0.0,350000.0
Gerhard Tremmel,Goalkeeper,Goalkeeper,,Germany,45.5,,,38,0,0,3198,0.0,250000.0
Claudio Pizarro,Attack,Centre-Forward,right,Peru,45.7,184.0,,187,53,24,6789,0.703,400000.0
Simon Jentzsch,Goalkeeper,Goalkeeper,right,Germany,48.1,196.0,,7,0,0,630,0.0,300000.0
Martin Stranzl,Defender,Centre-Back,,Austria,44.0,,,100,8,0,8607,0.084,1000000.0
Aleksandr Hleb,Midfield,Attacking Midfield,,Belarus,43.1,,,76,4,13,5014,0.072,150000.0
Timo Hildebrand,Goalkeeper,Goalkeeper,,Germany,45.2,,,50,0,0,4500,0.0,750000.0
Martin Petrov,Attack,Left Winger,,Bulgaria,45.4,,,9,0,2,225,0.0,400000.0
Ivan Klasnic,Attack,Centre-Forward,,Croatia,44.3,,,3,1,0,65,1.385,500000.0
Simon Rolfes,Midfield,Defensive Midfield,left,Germany,42.4,191.0,,116,12,8,8123,0.133,2000000.0
Giuseppe Gemiti,Defender,Left-Back,left,Germany,43.1,178.0,,11,0,1,669,0.0,75000.0
Deniz Baris,Defender,Centre-Back,,Turkey,46.9,,,37,1,0,2903,0.031,300000.0
David Jarolim,Midfield,Central Midfield,right,Czech Republic,45.0,174.0,,5,0,0,279,0.0,250000.0
Hanno Balitsch,Midfield,Defensive Midfield,right,Germany,43.4,182.0,,49,1,2,4022,0.022,200000.0
Selim Teber,Midfield,Central Midfield,right,Germany,43.2,187.0,,8,0,0,268,0.0,175000.0
Thorben Marx,Midfield,Defensive Midfield,right,Germany,,184.0,,32,3,3,2524,0.107,300000.0
Jens Langeneke,Defender,Centre-Back,right,Germany,47.2,185.0,,18,2,0,1601,0.112,100000.0
Heinz Müller,Goalkeeper,Goalkeeper,,Germany,46.0,,,15,0,0,1305,0.0,200000.0
Ugur Inceman,Midfield,Central Midfield,right,Turkey,43.0,183.0,,111,6,7,8615,0.063,50000.0
Christian Weber,Defender,Right-Back,right,Germany,40.7,175.0,,1,0,0,90,0.0,50000.0
Manuel Friedrich,Defender,Centre-Back,,Germany,44.7,,,33,3,2,2225,0.121,500000.0
Andriy Voronin,Attack,Second Striker,,Ukraine,44.9,,,28,7,3,1584,0.398,500000.0
Julian de Guzmán,Midfield,Defensive Midfield,,Canada,43.2,,,28,1,2,2302,0.039,250000.0
Emanuel Pogatetz,Defender,Centre-Back,left,Austria,41.4,191.0,,39,1,2,2942,0.031,200000.0
Peer Kluge,Midfield,Defensive Midfield,,Germany,43.5,,,3,0,1,122,0.0,125000.0
Thomas Kleine,Defender,Centre-Back,right,Germany,46.4,191.0,,23,0,0,1778,0.0,250000.0
Matthias Lehmann,Midfield,Defensive Midfield,,Germany,41.0,,,119,6,6,10082,0.054,250000.0
Nikolce Noveski,Defender,Centre-Back,,North Macedonia,45.1,,,81,2,1,7029,0.026,500000.0
Christofer Heimeroth,Goalkeeper,Goalkeeper,right,Germany,42.8,194.0,,2,0,0,103,0.0,100000.0
Raphael Schäfer,Goalkeeper,Goalkeeper,,Germany,45.3,,,66,0,0,5910,0.0,200000.0
Javier Zanetti,Defender,Right-Back,right,Argentina,50.8,178.0,,61,0,1,4608,0.0,1000000.0
Peter Graulund,Attack,Centre-Forward,,Denmark,47.7,,,9,2,0,412,0.437,250000.0
